solarradiation,humidity,month,hour,Clear,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",holiday,Domingo,Quarta,Quinta,Segunda,Sexta,Sábado,Terça,Hídrica,Eólica,Solar,Biomassa,Ondas,Gás Natural - Ciclo Combinado,Gás natural - Cogeração,Carvão,Outra Térmica,Importação,Exportação,Bombagem,Injeção de Baterias,Consumo Baterias,Consumo,Total Consumption (Portugal),Portugal,Active Energy (MWh) - Porto
294.0,87.0,11,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,311.40367950064314,1151.3244294984972,324.5023734668564,244.772958720572,0.0,1921.060549500641,252.95710394287272,0.0,9.585400855895628,1656.223234751203,0.0,537.005836509424,0.0,0.0,26225.8,26225.8,140.93,5504.918386297864
243.0,86.18,11,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,307.76853807436066,1209.5273084243381,250.64198593954202,259.5166049523098,0.0,1912.3687029618206,252.6118670476392,0.0,20.693905661350943,1705.2265658217032,0.0,452.2400247032621,0.0,0.0,26877.7,26877.7,119.52,5638.7155877861915
214.5,80.37,11,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,912.379881891574,1201.972712834522,174.73048509348723,260.3289270587416,0.0,1849.7386685559263,253.40388110141024,0.0,21.56715192576516,938.3944973500533,0.0,181.1478297342987,0.0,0.0,26719.300000000003,26719.300000000003,115.47,5567.400806364688
177.0,87.08,11,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1299.959066922862,1160.422437090534,62.40664582662556,265.7714851718349,0.0,1843.1588594938287,271.0718869163026,0.0,21.66869218906914,505.48773877986883,0.0,29.24359583154598,0.0,0.0,26577.3,26577.3,115.22,5496.3851798404185
32.0,90.85,11,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1843.0167031252029,1266.7350927698,1.888648897454011,249.30165446392945,0.0,1875.164350487243,287.54171762420805,0.0,21.831156610355507,5.1785534285029335,8.245069380283104,0.0,0.0,0.0,27278.2,27278.2,119.88,5509.393334493749
0.4,92.1,11,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2076.335920145086,1567.517660728847,0.08123221064318328,246.8443800919732,0.0,1872.4836875360177,287.744798150816,0.0,21.485919715121977,0.0,326.67533510156153,0.0,0.0,0.0,28281.8,28281.8,148.67,5588.125767769738
0.0,93.79,11,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2293.3274628256895,1828.0496683141967,0.08123221064318328,247.23023309252832,0.0,1867.1223616335676,292.4359583154598,0.0,21.587459978425958,0.0,709.4008955469195,0.0,0.0,0.0,28747.2,28747.2,155.48,5640.205177455835
0.0,93.79,11,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1301.157242029849,2000.7899642469258,0.08123221064318328,255.3940702621682,0.0,1872.1587586934452,294.2230669496098,0.0,22.907483401377682,72.17481915646833,4.46777158537508,176.3145132010293,0.0,0.0,27741.0,27741.0,155.63,5447.400874074042
0.0,93.79,11,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,430.368251987585,2151.760027727282,0.08123221064318328,266.92904417350024,0.0,1621.313692227295,262.27850011417803,0.0,22.135777400267443,714.4779087121185,0.0,179.72626604804302,0.0,0.0,26013.8,26013.8,159.81,5165.5628517918585
0.0,93.79,11,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,401.226196419343,2331.222289090734,0.08123221064318328,267.1727408054298,0.0,1586.4650738613693,251.04814699275792,0.0,22.379474032196992,292.05010531490467,0.0,257.506107738891,0.0,0.0,24055.0,24055.0,148.67,4769.957353561785
